org,host_name,role,city,cadence,type,source_url,public_contact,fit_notes
Boulder County Arts Alliance (BCAA),,,Boulder,,Colorado business org (chamber directory),http://www.bouldercountyarts.org/,info@bouldercountyarts.org,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Non-Profit Organizations; Arts Service Organizations
Boulder County Bar Association,,,Boulder,,Colorado business org (chamber directory),http://www.boulder-bar.org/,bay@boulder-bar.org,"AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Family, Community & Civic Organizations; Non-Profit Organizations; Associations;"
Boulder County Partners for a Clean Environment,,,Boulder,,Colorado business org (chamber directory),https://www.pacepartners.com/%3Foption=com_users&view=login,info@pacepartners.com,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Business Consultant; Business & Professional Services
"Boulder CPA Group, P.C.",,,Boulder,,Colorado business org (chamber directory),http://www.bouldercpagroup.com/,nancy@bouldercpas.com,"AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Accounting, Tax & Bookkeeping; Tax & Bookkeeping; Business & Professional Servic"
Boulder Home Professionals Leads Group,,,Boulder,,Colorado business org (chamber directory),https://www.boulderchamber.com/member-services/groups-programs/leads-groups/,membership@boulderchamber.com,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Referral Groups; Business & Professional Services
Boulder Rotary Club,,,Boulder,,Colorado business org (chamber directory),http://www.boulderrotary.org/,clubadmin@boulderrotary.org,"AUTO-FILTERED from Boulder Chamber directory; VET before sending. Has contact form. Categories: Non-Profit Organizations; Family, Community & Civic Organizations"
Boulder SBDC,,,Boulder,,Colorado business org (chamber directory),http://www.bouldersbdc.com/,admin@bouldersbdc.com,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Business Consultant; Education; Business & Professional Services
Boulder Valley Education Association,,,Lafayette,,Colorado business org (chamber directory),https://www.bouldervalleyea.org/,krutledge@coloradoea.org,"AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Non-Profit Organizations; Family, Community & Civic Organizations"
Brock and Company CPAs PC,,,Boulder,,Colorado business org (chamber directory),http://www.brockcpas.com/,info@brockcpas.com,"AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Accounting, Tax & Bookkeeping; Tax & Bookkeeping; Business & Professional Servic"
Broomfield Chamber of Commerce,,,Broomfield,,Colorado business org (chamber directory),http://www.broomfieldchamber.com/,info@broomfieldchamber.com,"AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Chambers of Commerce; Family, Community & Civic Organizations"
Caddis Architecture,,,Boulder,,Colorado business org (chamber directory),http://www.caddispc.com/,hello@caddispc.com,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Architects & Planners; Business & Professional Services
Center Copy Printing,,,Boulder,,Colorado business org (chamber directory),http://www.centercopyprinting.com/,info@centercopyprinting.com,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Printers; Business & Professional Services
CLA,,,Denver,,Colorado business org (chamber directory),http://www.claconnect.com/,webmaster@claconnect.com,"AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Accounting, Tax & Bookkeeping; Tax & Bookkeeping; Business & Professional Servic"
Coburn,,,Boulder,,Colorado business org (chamber directory),http://www.coburnpartners.com/,tfaler@coburnpartners.com,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Has contact form. Categories: Architects & Planners; Business & Professional Services
Colorado Association of Commerce & Industry,,,Denver,,Colorado business org (chamber directory),http://www.cochamber.com/,mdollar@cochamber.com,"AUTO-FILTERED from Boulder Chamber directory; VET before sending. Has contact form. Categories: Family, Community & Civic Organizations; Chambers of Commerce; Associations; Bus"
Colorado Green Building Guild,,,Boulder,,Colorado business org (chamber directory),https://www.cgbg.org/,admin@cgbg.org,"AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Non-Profit Organizations; Education; Family, Community & Civic Organizations"
Colorado LGBTQ Chamber of Commerce,,,Denver,,Colorado business org (chamber directory),https://www.colgbtqcc.org/boco/,boco@colgbtqcc.org,"AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Chambers of Commerce; LGBTQ Organizations; Family, Community & Civic Organizatio"
Colorado Women's Chamber of Commerce,,,Denver,,Colorado business org (chamber directory),http://www.cwcc.org/,billing@cwcc.org,"AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Chambers of Commerce; Family, Community & Civic Organizations"
Conscious Alliance,,,Boulder,,Colorado business org (chamber directory),https://consciousalliance.org/,support@consciousalliance.org,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Non-Profit Organizations
Cubed Communications,,,Boulder,,Colorado business org (chamber directory),c3.com,jlarosa@c3.com,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Coaching - Executive/Professional
Debi Richards GSD LLC,,,Boulder,,Colorado business org (chamber directory),https://debirichardsgsd.com/,debi@debirichardsgsd.com,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Business & Professional Services; Business & Professional Services
DEI4BIZ,,,Boulder,,Colorado business org (chamber directory),http://www.dei4biz.com/,amkryukov@gmail.com,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Coaching - Executive/Professional; Business & Professional Services
Division of Vocational Rehabilitation - Business Relations Unit,,,Loveland,,Colorado business org (chamber directory),http://www.dvr.colorado.gov/,jeff.sidders@state.co.us,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Human Services Agencies; Government Agencies/Research; Business Consultant; Busi
Downtown Boulder Partnership,,,Boulder,,Colorado business org (chamber directory),http://www.boulderdowntown.com/,info@downtownboulder.org,"AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Non-Profit Organizations; Government Agencies/Research; Family, Community & Civi"
Early Childhood Council of Boulder County,,,Boulder,,Colorado business org (chamber directory),www.eccbouldercounty.org,aharris@eccbouldercounty.org,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Non-Profit Organizations
EB-5 Investors Magazine,,,Irvine,,Colorado business org (chamber directory),https://www.eb5investors.com/directories/regional-centers/,denis@eb5investors.com,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Has contact form. Categories: Business & Professional Services
Eide Bailly LLP,,,Boulder,,Colorado business org (chamber directory),http://www.eidebailly.com/,cmullen@eidebailly.com,"AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Accounting, Tax & Bookkeeping; Tax & Bookkeeping; Business & Professional Servic"
Emergency Family Assistance Association (EFAA),,,Boulder,,Colorado business org (chamber directory),http://www.efaa.org/,info@efaa.org,"AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Non-Profit Organizations; Human Services Agencies; Family, Community & Civic Org"
Employers Council,,,Boulder,,Colorado business org (chamber directory),http://www.employerscouncil.org/,sales@employerscouncil.org,"AUTO-FILTERED from Boulder Chamber directory; VET before sending. Has contact form. Categories: Family, Community & Civic Organizations; Non-Profit Organizations; Employment Se"
Environmental Communications Associates Inc,,,Boulder,,Colorado business org (chamber directory),http://www.teameca.com/,info@teameca.com,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Marketing; Advertising & Media
First Flatiron Consulting,,,Boulder,,Colorado business org (chamber directory),https://www.firstflatironconsulting.com/,clif.harald@firstflatironconsulting.com,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Management Consultants; Business & Professional Services
Fortnight Collective,,,Boulder,,Colorado business org (chamber directory),http://www.fortnightcollective.com/,andy@fortnightcollective.com,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Advertising Agencies; Advertising Agencies; Advertising & Media
Frank Azar & Associates,,,Boulder,,Colorado business org (chamber directory),www.fdazar.com/boulder-personal-injury-lawyer,inv@fdazar.com,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Attorney - Litigation; Attorney - Personal Injury
Geological Society Of America,,,Boulder,,Colorado business org (chamber directory),http://www.geosociety.org/,gsaservice@geosociety.org,"AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Family, Community & Civic Organizations; Non-Profit Organizations; Associations;"
Good Business Colorado Association,,,Denver,,Colorado business org (chamber directory),https://goodbusinesscolorado.org/,info@goodbusinessco.org,"AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Family, Community & Civic Organizations; Non-Profit Organizations; Associations;"
Graham & Company PC CPAs,,,Boulder,,Colorado business org (chamber directory),http://www.grahamcpas.com/,tonia@grahamcpas.com,"AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Accounting, Tax & Bookkeeping; Tax & Bookkeeping; Business & Professional Servic"
Greeley Chamber of Commerce,,,Greeley,,Colorado business org (chamber directory),http://www.greeleychamber.com/,macy@greeleychamber.com,"AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Chambers of Commerce; Family, Community & Civic Organizations"
Greenhouse Partners,,,Boulder,,Colorado business org (chamber directory),http://www.greenhousepartners.com/,hello@greenhousepartners.com,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Business Consultant; Marketing; Business & Professional Services; Advertising & 
"Greg Cooper Photography, LLC",,,Boulder,,Colorado business org (chamber directory),gregcooperphotography.com,gregcooperphoto@gmail.com,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Film Industry; Video Production Services; Photography; Media; Business & Profess
Healthy Hounds Fitness Club,,,Boulder,,Colorado business org (chamber directory),www.dogwalkersboulder.com,info@healthyhoundsfitnessclub.com,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Dog Walking Service
Henry  Waters & Associates Inc,,,Boulder,,Colorado business org (chamber directory),http://www.henrywaters.com/,accountants@henrywaters.com,"AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Accounting, Tax & Bookkeeping; Tax & Bookkeeping; Business & Professional Servic"
Highland City Club,,,Boulder,,Colorado business org (chamber directory),http://www.highlandcityclub.com/,info@highlandcityclub.com,"AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Education; Family, Community & Civic Organizations"
