verdict,why,reachability,org,city,public_contact,host_name,source_url,categories
verify,no usable category signal,2.5,Frank Azar & Associates,Boulder,inv@fdazar.com,,www.fdazar.com/boulder-personal-injury-lawyer,Attorney - Litigation; Attorney - Personal Injury
verify,could run member events - confirm a recurring mixer exists,2.5,Geological Society Of America,Boulder,gsaservice@geosociety.org,,http://www.geosociety.org/,"Family, Community & Civic Organizations; Non-Profit Organizations; Associations;"
verify,no usable category signal,2.5,"Greg Cooper Photography, LLC",Boulder,gregcooperphoto@gmail.com,,gregcooperphotography.com,Film Industry; Video Production Services; Photography; Media; Business & Profess
verify,no usable category signal,2,Boulder Chamber Orchestra,Boulder,info@boulderchamberorchestra.org,,www.boulderchamberorchestra.org,Performing Arts
verify,could run member events - confirm a recurring mixer exists,2,Boulder Chamber Transportation Connections,Boulder,info@bouldertc.org,,http://www.bouldertc.org/,"Non-Profit Organizations; Transportation; Family, Community & Civic Organization"
verify,could run member events - confirm a recurring mixer exists,2,Boulder County Arts Alliance (BCAA),Boulder,info@bouldercountyarts.org,,http://www.bouldercountyarts.org/,Non-Profit Organizations; Arts Service Organizations
verify,could run member events - confirm a recurring mixer exists,2,Boulder County Partners for a Clean Environment,Boulder,info@pacepartners.com,,https://www.pacepartners.com/%3Foption=com_users&view=login,Business Consultant; Business & Professional Services
verify,could run member events - confirm a recurring mixer exists,2,Boulder Home Professionals Leads Group,Boulder,membership@boulderchamber.com,,https://www.boulderchamber.com/member-services/groups-programs/leads-groups/,Referral Groups; Business & Professional Services
verify,could run member events - confirm a recurring mixer exists,2,Boulder SBDC,Boulder,admin@bouldersbdc.com,,http://www.bouldersbdc.com/,Business Consultant; Education; Business & Professional Services
verify,could run member events - confirm a recurring mixer exists,2,Center Copy Printing,Boulder,info@centercopyprinting.com,,http://www.centercopyprinting.com/,Printers; Business & Professional Services
verify,could run member events - confirm a recurring mixer exists,2,Colorado Green Building Guild,Boulder,admin@cgbg.org,,https://www.cgbg.org/,"Non-Profit Organizations; Education; Family, Community & Civic Organizations"
verify,could run member events - confirm a recurring mixer exists,2,Conscious Alliance,Boulder,support@consciousalliance.org,,https://consciousalliance.org/,Non-Profit Organizations
verify,could run member events - confirm a recurring mixer exists,2,Downtown Boulder Partnership,Boulder,info@downtownboulder.org,,http://www.boulderdowntown.com/,"Non-Profit Organizations; Government Agencies/Research; Family, Community & Civi"
verify,could run member events - confirm a recurring mixer exists,2,Employers Council,Boulder,sales@employerscouncil.org,,http://www.employerscouncil.org/,"Family, Community & Civic Organizations; Non-Profit Organizations; Employment Se"
verify,could run member events - confirm a recurring mixer exists,2,Good Business Colorado Association,Denver,info@goodbusinessco.org,,https://goodbusinesscolorado.org/,"Family, Community & Civic Organizations; Non-Profit Organizations; Associations;"
verify,no usable category signal,2,Healthy Hounds Fitness Club,Boulder,info@healthyhoundsfitnessclub.com,,www.dogwalkersboulder.com,Dog Walking Service
verify,could run member events - confirm a recurring mixer exists,2,Highland City Club,Boulder,info@highlandcityclub.com,,http://www.highlandcityclub.com/,"Education; Family, Community & Civic Organizations"
cut,"vendor/service firm, not an event host",2.5,Allo Fiber,Boulder,dane.jacobi@allofiber.com,,www.allocommunications.com,Television/Cable/Satellite; Telecommunications; Communication Technology; Public
cut,"vendor/service firm, not an event host",2.5,"Better Business Analytics (""BBA"")",Boulder,better@bettersolv.com,,www.bettersolv.com,Software - Development/Service; Technology Consulting & Research; Management Con
cut,"vendor/service firm, not an event host",2.5,"Boulder CPA Group, P.C.",Boulder,nancy@bouldercpas.com,,http://www.bouldercpagroup.com/,"Accounting, Tax & Bookkeeping; Tax & Bookkeeping; Business & Professional Servic"
cut,"vendor/service firm, not an event host",2.5,CLA,Denver,webmaster@claconnect.com,,http://www.claconnect.com/,"Accounting, Tax & Bookkeeping; Tax & Bookkeeping; Business & Professional Servic"
cut,"vendor/service firm, not an event host",2.5,Coburn,Boulder,tfaler@coburnpartners.com,,http://www.coburnpartners.com/,Architects & Planners; Business & Professional Services
cut,"vendor/service firm, not an event host",2.5,Cubed Communications,Boulder,jlarosa@c3.com,,c3.com,Coaching - Executive/Professional
cut,"vendor/service firm, not an event host",2.5,DEI4BIZ,Boulder,amkryukov@gmail.com,,http://www.dei4biz.com/,Coaching - Executive/Professional; Business & Professional Services
cut,"vendor/service firm, not an event host",2.5,Division of Vocational Rehabilitation - Business Relations Unit,Loveland,jeff.sidders@state.co.us,,http://www.dvr.colorado.gov/,Human Services Agencies; Government Agencies/Research; Business Consultant; Busi
cut,not a Colorado org (national HQ address),2.5,EB-5 Investors Magazine,Irvine,denis@eb5investors.com,,https://www.eb5investors.com/directories/regional-centers/,Business & Professional Services
cut,"vendor/service firm, not an event host",2.5,Eide Bailly LLP,Boulder,cmullen@eidebailly.com,,http://www.eidebailly.com/,"Accounting, Tax & Bookkeeping; Tax & Bookkeeping; Business & Professional Servic"
cut,"vendor/service firm, not an event host",2.5,Fortnight Collective,Boulder,andy@fortnightcollective.com,,http://www.fortnightcollective.com/,Advertising Agencies; Advertising Agencies; Advertising & Media
cut,"vendor/service firm, not an event host",2.5,Graham & Company PC CPAs,Boulder,tonia@grahamcpas.com,,http://www.grahamcpas.com/,"Accounting, Tax & Bookkeeping; Tax & Bookkeeping; Business & Professional Servic"
cut,"vendor/service firm, not an event host",2.5,Henry  Waters & Associates Inc,Boulder,accountants@henrywaters.com,,http://www.henrywaters.com/,"Accounting, Tax & Bookkeeping; Tax & Bookkeeping; Business & Professional Servic"
cut,"vendor/service firm, not an event host",2,"Attune Collective, LLC",Boulder,contact@attune-collective.com,,attune-collective.com,Coaching - Executive/Professional
cut,"vendor/service firm, not an event host",2,Autism Society of Boulder County,Boulder,info@autismboulder.org,,http://www.autismboulder.org/,"Non-Profit Organizations; Human Services Agencies; Family, Community & Civic Org"
cut,"vendor/service firm, not an event host",2,BC Interiors,Boulder,sales@bcinteriors.com,,http://www.bcinteriors.com/,Furniture - Office; Business & Professional Services
cut,not a Colorado org (national HQ address),2,BDO,Grand Rapids,cpe@bdo.com,,http://www.bdo.com/,"Accounting, Tax & Bookkeeping; Tax & Bookkeeping; Business & Professional Servic"
cut,not a Colorado org (national HQ address),2,Better Business Bureau Great West + Pacific,Meridian,info@thebbb.org,,http://www.bbb.org/,Associations; Business & Professional Services
cut,"vendor/service firm, not an event host",2,bldg.collective architecture + design,Boulder,info@bldgcollective.com,,http://www.bldgcollective.com/,Architects & Planners; Business & Professional Services
cut,"vendor/service firm, not an event host",2,Brock and Company CPAs PC,Boulder,info@brockcpas.com,,http://www.brockcpas.com/,"Accounting, Tax & Bookkeeping; Tax & Bookkeeping; Business & Professional Servic"
cut,"vendor/service firm, not an event host",2,Caddis Architecture,Boulder,hello@caddispc.com,,http://www.caddispc.com/,Architects & Planners; Business & Professional Services
cut,"vendor/service firm, not an event host",2,Emergency Family Assistance Association (EFAA),Boulder,info@efaa.org,,http://www.efaa.org/,"Non-Profit Organizations; Human Services Agencies; Family, Community & Civic Org"
cut,"vendor/service firm, not an event host",2,Environmental Communications Associates Inc,Boulder,info@teameca.com,,http://www.teameca.com/,Marketing; Advertising & Media
cut,"vendor/service firm, not an event host",2,Greenhouse Partners,Boulder,hello@greenhousepartners.com,,http://www.greenhousepartners.com/,Business Consultant; Marketing; Business & Professional Services; Advertising &
